"global_category","indicator_name","value","count"
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Iceland%20First/Iceland_updated_NDC_Submission_Feb_2021.pdf"">Iceland First NDC (Updated submission)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Ireland%20First/EU_NDC_Submission_December%202020.pdf"">EU Updated First NDC (Ireland)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Italy%20First/EU_NDC_Submission_December%202020.pdf"">EU Updated First NDC (Italy)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Jamaica%20First/Updated%20NDC%20Jamaica%20-%20ICTU%20Guidance.pdf"">NDC Registry</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Japan%20First/SUBMISSION%20OF%20JAPAN'S%20NATIONALLY%20DETERMINED%20CONTRIBUTION%20(NDC).PDF"">NDC Registry</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Kenya%20First/Kenya's%20First%20%20NDC%20(updated%20version).pdf"">Kenya's First NDC (Updated submission)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Lao%20People%27s%20Democratic%20Republic%20First/NDC%202020%20of%20Lao%20PDR%20(English),%2009%20April%202021%20(1).pdf"">Laos Updated First NDC</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Latvia%20First/EU_NDC_Submission_December%202020.pdf"">EU Updated First NDC (Latvia)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Lebanon%20First/Lebanon's%202020%20Nationally%20Determined%20Contribution%20Update.pdf"">Lebanon First NDC (Updated submission)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Lithuania%20First/EU_NDC_Submission_December%202020.pdf"">EU Updated First NDC (Lithuania)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Luxembourg%20First/EU_NDC_Submission_December%202020.pdf"">EU Updated First NDC (Luxembourg)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Maldives%20First/Maldives%20Nationally%20Determined%20Contribution%202020.pdf"">Maldives First NDC (Updated submission)</a>",1
