"global_category","indicator_name","value","count"
"Sectoral Information","Existing sectoral policies","National Energy Policy; Power factor surcharge for bulk electricity consumers; Sustainable Energy Action Plan",2
"Sectoral Information","Existing sectoral policies","National Energy Policy;Electricity Supply Act; National Utility Regulatory Commission Bill",2
"Sectoral Information","Existing sectoral policies","National Energy Policy;Long Term Energy Master Plan; National Electrification Master Plan;National Energy Efficiency and Conservation Policy, Strategy and Roadmap for Myanmar",2
"Sectoral Information","Existing sectoral policies","National Forest Action Plan (PAFN); Togo‘s Forest Policy (PFT)",2
"Sectoral Information","Existing sectoral policies","National Forest and Wildlife Policy; National plantation development strategy",2
"Sectoral Information","Existing sectoral policies","National Forest Policy",2
"Sectoral Information","Existing sectoral policies","National Forest Programme 2010-2029; Climate Change Action Plan for Agriculture, Forestry and Fisheries Sector (2014-2018); REDD+ Strategy",2
"Sectoral Information","Existing sectoral policies","National Forestry Master Plan",2
"Sectoral Information","Existing sectoral policies","National Forestry Policy (1978, Revised 1992); National Policy on Biological Diversity (1998)",2
"Sectoral Information","Existing sectoral policies","National Industrial Development Master Plan B.E. 2555-“2574(2012-2031)",2
"Sectoral Information","Existing sectoral policies","National Land Policy",2
"Sectoral Information","Existing sectoral policies","National Natural Gas Master Plan",2
"Sectoral Information","Existing sectoral policies","National Petroleum Policy (1975); National Energy Policy (1979); National Depletion Policy (1980); Four-Fuel Diversification Policy (1981)",2
"Sectoral Information","Existing sectoral policies","National Physical Development Plan",2
"Sectoral Information","Existing sectoral policies","National Plan that includes emissions reductions goals (Plan Nacional para el Desarrollo Económico y Social (PNDES) al Horizonte 2020)",2
"Sectoral Information","Existing sectoral policies","National Policy on Biofuels (20% blending for both bio-ethanol and bio-diesel)",2
"Sectoral Information","Existing sectoral policies","National Policy, Strategy and Action Plan for Energy Efficiency in the electricity sector 2014",2
"Sectoral Information","Existing sectoral policies","National programs for renewable energy",2
"Sectoral Information","Existing sectoral policies","National REDD+ Strategy and Action Plan",2
"Sectoral Information","Existing sectoral policies","National sanitation strategy; National bioenergy strategy; National renewable energy Act (Act 832); Environmental Protection Act (Act 490); Environmental Assessment Regulation (LI. 1652); Sustainable Energy Action Plan",2
"Sectoral Information","Existing sectoral policies","National Smart Grid Mission",2
"Sectoral Information","Existing sectoral policies","National Solid Waste Management Strategy 2000",2
"Sectoral Information","Existing sectoral policies","National Strategic Plan",2
"Sectoral Information","Existing sectoral policies","National Strategic Plan for Solid Waste Management (2005)",2
"Sectoral Information","Existing sectoral policies","National Strategy and Action Plan to Fight Soil Degradation (2011-2016)",2
"Sectoral Information","Existing sectoral policies","National Sustainable Land Use Strategy (2007), National Action Programme to Fight Land Degradation (2005)",2
"Sectoral Information","Existing sectoral policies","National Transport Master Plan",2
"Sectoral Information","Existing sectoral policies","National Transport Policy",2
"Sectoral Information","Existing sectoral policies","National transport strategy",2
"Sectoral Information","Existing sectoral policies","National Waste Plan (2012-2016)",2
"Sectoral Information","Existing sectoral policies","Nationally Appropriate Mitigation Actions (NAMAs), 2010; Mid-term new development programme, 2010",2
"Sectoral Information","Existing sectoral policies","Native Forestry Recovery and Forest Promotion Law",2
"Sectoral Information","Existing sectoral policies","Natural Gas Policy; Natural Gas Act",2
"Sectoral Information","Existing sectoral policies","NCCAMS (2013 to 2030)",2
"Sectoral Information","Existing sectoral policies","New electricity regulations",2
"Sectoral Information","Existing sectoral policies","New levy on used vehicles imports; lower excise tax and duty for fuel efficient vehicles imports; higher tax on high energy capacity vehicles",2
"Sectoral Information","Existing sectoral policies","On energy saving and energy efficiency law",2
"Sectoral Information","Existing sectoral policies","Pending legislation: use and commercial sale of four stroke outboard motor engines",2
