"global_category","indicator_name","value","count"
"Sectoral Information","Estimated costs for implementation (conditional)","$200 million by 2020 | $500 million between 2020 and 2030",2
"Sectoral Information","Estimated costs for implementation (conditional)","$25,000,000+$2,500,000 (studies)",2
"Sectoral Information","Estimated costs for implementation (conditional)","$25,000,000+$2,500,000(studies)",2
"Sectoral Information","Estimated costs for implementation (conditional)","$3.465 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","$37,500,000+$3,750,000 (studies)",2
"Sectoral Information","Estimated costs for implementation (conditional)","$4 million (all energy targets)",2
"Sectoral Information","Estimated costs for implementation (conditional)","$4.5 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","$5,000,000+$500,000(studies)",2
"Sectoral Information","Estimated costs for implementation (conditional)","$5.4 billion over the next 10 years",2
"Sectoral Information","Estimated costs for implementation (conditional)","$5.4 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","$5.8 million over 6 years",2
"Sectoral Information","Estimated costs for implementation (conditional)","$500 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","$6 billion, total energy sector combined",2
"Sectoral Information","Estimated costs for implementation (conditional)","$609.866667 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","$64.938 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","$70 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","$740 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","$75 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","$8.4million",2
"Sectoral Information","Estimated costs for implementation (conditional)","$81.228 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","$968.06 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","0.06  million in AUD<br>0.115  million in AUD<br>0.23 million in AUD<br>0.285  million in AUD<br>0.5  million in AUD<br>0.61  million in AUD<br>0.71  million in AUD<br>1.5  million in AUD<br>2.4 million in AUD",2
"Sectoral Information","Estimated costs for implementation (conditional)","0.3 million USD",2
"Sectoral Information","Estimated costs for implementation (conditional)","1 billion EUR",2
"Sectoral Information","Estimated costs for implementation (conditional)","10.05 million  USD",2
"Sectoral Information","Estimated costs for implementation (conditional)","10.65 million USD (added up project's cost estimates)",2
"Sectoral Information","Estimated costs for implementation (conditional)","1000",2
"Sectoral Information","Estimated costs for implementation (conditional)","1035000000",2
"Sectoral Information","Estimated costs for implementation (conditional)","109166667",2
"Sectoral Information","Estimated costs for implementation (conditional)","12.5",2
"Sectoral Information","Estimated costs for implementation (conditional)","125820515",2
"Sectoral Information","Estimated costs for implementation (conditional)","144259000",2
"Sectoral Information","Estimated costs for implementation (conditional)","150 million USD",2
"Sectoral Information","Estimated costs for implementation (conditional)","163.666667",2
"Sectoral Information","Estimated costs for implementation (conditional)","168.75",2
"Sectoral Information","Estimated costs for implementation (conditional)","180000000",2
"Sectoral Information","Estimated costs for implementation (conditional)","1840998400",2
"Sectoral Information","Estimated costs for implementation (conditional)","188 million USD per year (2020 - 2030)",2
"Sectoral Information","Estimated costs for implementation (conditional)","3",2
"Sectoral Information","Estimated costs for implementation (conditional)","3,500 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","3.325",2
"Sectoral Information","Estimated costs for implementation (conditional)","4.5",2
"Sectoral Information","Estimated costs for implementation (conditional)","406954023<br>542754500<br>550000000",2
"Sectoral Information","Estimated costs for implementation (conditional)","42 million USD",2
"Sectoral Information","Estimated costs for implementation (conditional)","44333231",2
"Sectoral Information","Estimated costs for implementation (conditional)","45796400",2
"Sectoral Information","Estimated costs for implementation (conditional)","5.25<br>52.5",2
"Sectoral Information","Estimated costs for implementation (conditional)","5<br>15",2
"Sectoral Information","Estimated costs for implementation (conditional)","500",2
"Sectoral Information","Estimated costs for implementation (conditional)","55<br>178.75<br>275<br>499.125<br>550",2
"Sectoral Information","Estimated costs for implementation (conditional)","60",2
"Sectoral Information","Estimated costs for implementation (conditional)","64938000",2
"Sectoral Information","Estimated costs for implementation (conditional)","670",2
"Sectoral Information","Estimated costs for implementation (conditional)","700",2
"Sectoral Information","Estimated costs for implementation (conditional)","72.784",2
"Sectoral Information","Estimated costs for implementation (conditional)","721289300",2
"Sectoral Information","Estimated costs for implementation (conditional)","8 million USD",2
"Sectoral Information","Estimated costs for implementation (conditional)","8.444",2
"Sectoral Information","Estimated costs for implementation (conditional)","94.708333",2
"Sectoral Information","Estimated costs for implementation (conditional)","Long-term credits: $1,261 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","US$ 30m for 3rd Party Solar Generation",2
"Sectoral Information","Estimated costs for implementation (conditional)","US$180 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","USD 1446.118 million|USD 25.787 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","USD 25 million for implementing measures, USD 2.5 million for studies",2
"Sectoral Information","Estimated costs for implementation (conditional)","""This requires, in addition to investment with own resources, additional support in financing of 2,291 million of USD.""",1
"Sectoral Information","Estimated costs for implementation (conditional)","$ 4,713 million",1
"Sectoral Information","Estimated costs for implementation (conditional)","$0.485 billion",1
"Sectoral Information","Estimated costs for implementation (conditional)","$0.5 million",1
"Sectoral Information","Estimated costs for implementation (conditional)","$1.7 billion",1
"Sectoral Information","Estimated costs for implementation (conditional)","$1.7 billion<br>$1.7 billion",1
"Sectoral Information","Estimated costs for implementation (conditional)","$1.8 billion",1
"Sectoral Information","Estimated costs for implementation (conditional)","$10719 million",1
"Sectoral Information","Estimated costs for implementation (conditional)","$1862 million",1
"Sectoral Information","Estimated costs for implementation (conditional)","$350 million",1
"Sectoral Information","Estimated costs for implementation (conditional)","$4 million",1
"Sectoral Information","Estimated costs for implementation (conditional)","$602 million",1
"Sectoral Information","Estimated costs for implementation (conditional)","0.2",1
"Sectoral Information","Estimated costs for implementation (conditional)","1.16 bn",1
"Sectoral Information","Estimated costs for implementation (conditional)","1.37 bn",1
"Sectoral Information","Estimated costs for implementation (conditional)","1.37 bn<br>1.37 bn",1
"Sectoral Information","Estimated costs for implementation (conditional)","1.796 bn",1
"Sectoral Information","Estimated costs for implementation (conditional)","1.796 bn<br>1.796 bn",1
"Sectoral Information","Estimated costs for implementation (conditional)","1020",1
"Sectoral Information","Estimated costs for implementation (conditional)","10719",1
